Cc1ccc(cc1)S(=O)(=O)NC(=O)Nc2ccc(nc2)S(=O)(=O)N  4KV0_MB7
CN(C)c1cccc2c1cccc2S(=O)(=O)N  1OKL_MNS
c1cc(c(cc1Cn2cncn2)c3ccc(c(c3)Cl)OS(=O)(=O)N)C#N  2WD3_MS4
C[C@H]1C[C@@H](c2cc(sc2S1(=O)=O)S(=O)(=O)N)NC  1CIN_MTS
C(=O)(N)NO  2GEH_NHY
CCN([C@H]1C[C@@H](S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)C)C(=O)OC[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]  3K2F_NKX
c1ccc(cc1)C(=O)N2CCN(CC2)C(=O)c3ccc(cc3)S(=O)(=O)N  6XXT_O42
CCCCCCCCCCOS(=O)(=O)N  3IBU_O48
C(CCCCOS(=O)(=O)N)CCCOS(=O)(=O)N  3IBL_O59
C(CCCCCOS(=O)(=O)N)CCCCOS(=O)(=O)N  3IBN_O60
c1cc(c(cc1C/C(=NO)/C(=O)NCCS(=O)(=O)N)Br)O  5G03_OE2
c1cc(ccc1OC[C@H](C[Te]C[C@H](COc2ccc(cc2)S(=O)(=O)N)O)O)S(=O)(=O)N  6PGX_OJ4
c1cc(ccc1N2CCCCS2(=O)=O)S(=O)(=O)N  2Q1Q_OSP
CCC[C@H](C(=O)Nc1ccc(cc1)S(=O)(=O)N)C(C)(C)C  3OY0_OY0
CC[C@H](C)CCC(=O)Nc1ccc(cc1)S(=O)(=O)N  3OYQ_OYQ
c1ccc(cc1)CC(=O)Nc2ccc(cc2)S(=O)(=O)N  3OYS_OYS
CN(Cc1ccccc1)C(=S)S  3P58_P58
c1cc(ccc1NC(=O)Nc2c(c(c(c(c2F)F)F)F)F)S(=O)(=O)N  3N0N_P9B
c1cc(ccc1C(=O)O)O  4E3G_PHB
Cc1cc([n+](c(c1)C)CCc2ccc(cc2)S(=O)(=O)N)C  1ZE8_PIU
COC(=O)/C=C/C(=O)N[C@@H](Cc1ccc(c(c1)Cl)O)C(=O)O  3P4V_PMX
C[C@]12CC[C@@H]3c4cc(c(cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)N)OS(=O)(=O)N)OC  2GD8_PO1
C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC(=O)N(C2=O)Cc5cccnc5)OS(=O)(=O)N  3C7P_POF
C[C@H]1C[C@@H](c2cc(sc2S1(=O)=O)S(=O)(=O)N)N  1CIM_PTS
c1cc2c(cc1F)S(=O)(=O)NC(=O)N2  6UGR_Q71
Cc1cc(c2c(c1)S(=O)(=O)NC(=O)N2)C  6UGN_Q77
c1cc2c(c(c1)Cl)NC(=O)NS2(=O)=O  6UGP_Q7A
c1cc(ccc1NC(=O)CN2C=CC(=O)NC2=O)S(=O)(=O)N  6VJ3_QYA
c1cc(ccc1CCNC(=O)Cc2ccc(c(c2)Cl)O)S(=O)(=O)N  3NB5_R21
c1cc(ccc1NC(=O)c2ccc(cc2Cl)[N+](=O)[O-])S(=O)(=O)N  5NXG_RA1
c1cc(ccc1NC(=O)CSc2nnc(s2)N)S(=O)(=O)N  5NXW_RA9
c1cc(cc(c1)O)O  4E49_RCO
c1cc(ccc1C(=O)NCC(F)(F)F)S(=O)(=O)N  3RYJ_RYJ
CCNC(=O)c1ccc(cc1)S(=O)(=O)N  3RYV_RYV
c1cc(ccc1C(=O)NCC(C(F)(F)F)(F)F)S(=O)(=O)N  3RYX_RYX
CCCNC(=O)c1ccc(cc1)S(=O)(=O)N  3RYY_RYY
c1cc(ccc1C(=O)NCC(C(C(F)(F)F)(F)F)(F)F)S(=O)(=O)N  3RYZ_RYZ
CCCCNC(=O)c1ccc(cc1)S(=O)(=O)N  3RZ0_RZ0
c1cc(ccc1C(=O)NCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)S(=O)(=O)N  3RZ1_RZ1
CCCCCNC(=O)c1ccc(cc1)S(=O)(=O)N  3RZ5_RZ5
c1cc(ccc1C(=O)NCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)S(=O)(=O)N  3RZ7_RZ7
CCCCCCNC(=O)c1ccc(cc1)S(=O)(=O)N  3RZ8_RZ8
